algorithm,engine,N,repeat,TPS(tx/s),P99(ms),success_rate
Raft,raft,64,7,1024.266426,638.514000,0.896000
Raft,raft,64,8,577.333160,763.926000,0.889000
Raft,raft,64,9,629.459161,702.151000,0.746000
Raft,raft,64,10,554.867159,744.464000,0.832000
Raft,raft,72,1,432.564103,881.701000,0.741000
Raft,raft,72,2,555.079101,812.103000,0.766000
Raft,raft,72,3,611.752586,782.935000,0.695000
Raft,raft,72,4,616.140538,845.484000,0.694000
Raft,raft,72,5,496.849678,832.314000,0.606000
Raft,raft,72,6,474.992741,679.477000,0.728000
Raft,raft,72,7,843.648312,771.294000,0.806000
Raft,raft,72,8,464.848105,688.212000,0.803000
Raft,raft,72,9,827.259294,638.848000,0.812000
Raft,raft,72,10,675.857972,789.286000,0.745000
Raft,raft,80,1,394.004479,974.574000,0.597000
Raft,raft,80,2,648.979550,793.137000,0.696000
Raft,raft,80,3,351.597530,1041.462000,0.629000
Raft,raft,80,4,562.220072,886.744000,0.669000
Raft,raft,80,5,538.621127,893.184000,0.649000
Raft,raft,80,6,566.136132,707.407000,0.676000
Raft,raft,80,7,548.434504,772.376000,0.723000
Raft,raft,80,8,393.010059,950.601000,0.711000
Raft,raft,80,9,497.766465,826.585000,0.908000
Raft,raft,80,10,409.109213,919.398000,0.650000
Raft,raft,88,1,352.277265,968.594000,0.595000
Raft,raft,88,2,552.950299,819.590000,0.698000
Raft,raft,88,3,592.274838,1013.796000,0.749000
Raft,raft,88,4,433.942801,1137.246000,0.508000
Raft,raft,88,5,373.912858,1196.707000,0.572000
Raft,raft,88,6,547.235510,1080.169000,0.786000
Raft,raft,88,7,495.518146,1077.204000,0.642000
Raft,raft,88,8,550.896921,776.683000,0.532000
Raft,raft,88,9,630.240174,946.029000,0.847000
Raft,raft,88,10,385.880398,1018.556000,0.567000
Raft,raft,96,1,400.930520,1305.117000,0.710000
Raft,raft,96,2,356.492025,1125.847000,0.473000
Raft,raft,96,3,338.705435,1177.102000,0.647000
Raft,raft,96,4,351.936013,1140.272000,0.816000
Raft,raft,96,5,421.736073,1269.233000,0.662000
Raft,raft,96,6,397.819636,999.743000,0.560000
